	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
237	401000	50	50000	20045421	15814	15749.148110773414	0.0007856731026389226	0.000788908349692431	0.4100916227809852
238	401000	50	70000	19989404	11216	11156.945572085679	0.0005581429827565483	0.0005610972693332927	0.5265195070820383
239	401000	50	90000	20018784	8639	8715.003467012197	0.00043534130080089765	0.0004315446932241239	0.8797715825002566
240	401000	55	10000	22054762	94713	94898.01246812567	0.0043028354814314326	0.004294446704979179	0.19534009916871292
241	401000	55	30000	22062898	32016	31728.253413189203	0.0014380818609227674	0.0014511239638600514	0.89875870443152
242	401000	55	50000	22027862	18973	18993.44554914534	0.0008622464381311877	0.0008613182704703706	0.10776128785822514
243	401000	55	70000	22034269	13510	13550.93012265116	0.0006149934051658877	0.0006131358385431348	0.3029616776547687
244	401000	55	90000	22059586	10648	10584.20114229247	0.0004798005339852013	0.0004826926489010265	0.5991628259535063
245	401000	60	10000	24092688	113255	113256.1556639187	0.004700851796359074	0.004700803828945944	0.001020408740196453
246	401000	60	30000	24052080	37856	37687.66784315556	0.0015669192786301877	0.0015739179314221473	0.4446644041748633
247	401000	60	50000	24013601	22767	22585.853008832783	0.0009405441944684924	0.0009480877107935624	0.7956559545272407
248	401000	60	70000	24031034	16124	16178.946150414646	0.0006732521850876099	0.0006709657187451859	0.3407724535763237
249	401000	60	90000	24083996	12505	12630.22058698535	0.000524423795244998	0.0005192244675675914	1.001364150222707
250	401000	65	10000	26007669	132698	132130.9267730564	0.005080460181689347	0.005102264259053743	0.4273412010306215
251	401000	65	30000	26074334	44407	44304.39342505857	0.001699157241180487	0.0017030923972976644	0.23105946121428272
252	401000	65	50000	26022504	26746	26539.313390806317	0.0010198600945860673	0.0010278027049203259	0.7727757765411062
253	401000	65	70000	26094442	19158	19060.606860913336	0.0007304469994381691	0.0007341793321351727	0.5083679877161742
254	401000	65	90000	26052703	14966	14755.141552709043	0.0005663574160696125	0.0005744509504445662	1.4089165260654615
255	401000	70	10000	28152127	154196	154300.65624169633	0.005480959084963503	0.005477241559758522	0.06787221568413719
